Md;NN;EE;VV;NE;NV;EV;HH;LL;AA;HL;HA;LA
0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
30;0,0322;0,0322;0,1228;0,0000;0,0000;0,0000;0,0322;0,0322;0,1228;0,0000;0,0000;0,0000
60;0,0771;0,0771;0,1236;0,0000;0,0000;0,0000;0,0771;0,0771;0,1236;0,0000;0,0000;0,0000
90;0,1099;0,1099;0,1250;0,0000;0,0000;0,0000;0,1099;0,1099;0,1250;0,0000;0,0000;0,0000
120;0,1431;0,1431;0,1270;0,0000;0,0000;0,0000;0,1431;0,1431;0,1270;0,0000;0,0000;0,0000
150;0,1765;0,1765;0,1296;0,0000;0,0000;0,0000;0,1765;0,1765;0,1296;0,0000;0,0000;0,0000
180;0,2102;0,2102;0,1327;0,0000;0,0000;0,0000;0,2102;0,2102;0,1327;0,0000;0,0000;0,0000
210;0,2442;0,2442;0,1365;0,0000;0,0000;0,0000;0,2442;0,2442;0,1365;0,0000;0,0000;0,0000
240;0,2786;0,2786;0,1408;0,0000;0,0000;0,0000;0,2786;0,2786;0,1408;0,0000;0,0000;0,0000
270;0,3132;0,3132;0,1457;0,0000;0,0000;0,0000;0,3132;0,3132;0,1457;0,0000;0,0000;0,0000
300;0,3481;0,3481;0,1512;0,0000;0,0000;0,0000;0,3481;0,3481;0,1512;0,0000;0,0000;0,0000
330;0,3833;0,3833;0,1574;0,0000;0,0000;0,0000;0,3833;0,3833;0,1574;0,0000;0,0000;0,0000
360;0,4189;0,4189;0,1642;0,0000;0,0000;0,0000;0,4189;0,4189;0,1642;0,0000;0,0000;0,0000
390;0,4547;0,4547;0,1716;0,0000;0,0000;0,0000;0,4547;0,4547;0,1716;0,0000;0,0000;0,0000
420;0,4908;0,4908;0,1798;0,0000;0,0000;0,0000;0,4908;0,4908;0,1798;0,0000;0,0000;0,0000
450;0,5272;0,5272;0,1886;0,0000;0,0000;0,0000;0,5272;0,5272;0,1886;0,0000;0,0000;0,0000
480;0,5640;0,5640;0,1981;0,0000;0,0000;0,0000;0,5640;0,5640;0,1981;0,0000;0,0000;0,0000
510;0,6010;0,6010;0,2083;0,0000;0,0000;0,0000;0,6010;0,6010;0,2083;0,0000;0,0000;0,0000
540;0,6383;0,6383;0,2193;0,0000;0,0000;0,0000;0,6383;0,6383;0,2193;0,0000;0,0000;0,0000
570;0,6759;0,6759;0,2310;0,0000;0,0000;0,0000;0,6759;0,6759;0,2310;0,0000;0,0000;0,0000
600;0,7139;0,7139;0,2435;0,0000;0,0000;0,0000;0,7139;0,7139;0,2435;0,0000;0,0000;0,0000
630;0,7521;0,7521;0,2568;0,0000;0,0000;0,0000;0,7521;0,7521;0,2568;0,0000;0,0000;0,0000
660;0,7906;0,7906;0,2710;0,0000;0,0000;0,0000;0,7906;0,7906;0,2710;0,0000;0,0000;0,0000
690;0,8294;0,8294;0,2860;0,0000;0,0000;0,0000;0,8294;0,8294;0,2860;0,0000;0,0000;0,0000
720;0,8685;0,8685;0,3019;0,0000;0,0000;0,0000;0,8685;0,8685;0,3019;0,0000;0,0000;0,0000
750;0,9079;0,9079;0,3187;0,0000;0,0000;0,0000;0,9079;0,9079;0,3187;0,0000;0,0000;0,0000
780;0,9477;0,9477;0,3364;0,0000;0,0000;0,0000;0,9477;0,9477;0,3364;0,0000;0,0000;0,0000
810;0,9877;0,9877;0,3552;0,0000;0,0000;0,0000;0,9877;0,9877;0,3552;0,0000;0,0000;0,0000
840;1,0280;1,0280;0,3749;0,0000;0,0000;0,0000;1,0280;1,0280;0,3749;0,0000;0,0000;0,0000
870;1,0686;1,0686;0,3957;0,0000;0,0000;0,0000;1,0686;1,0686;0,3957;0,0000;0,0000;0,0000
900;1,1095;1,1095;0,4175;0,0000;0,0000;0,0000;1,1095;1,1095;0,4175;0,0000;0,0000;0,0000
930;1,1507;1,1507;0,4405;0,0000;0,0000;0,0000;1,1507;1,1507;0,4405;0,0000;0,0000;0,0000
960;1,1923;1,1923;0,4646;0,0000;0,0000;0,0000;1,1923;1,1923;0,4646;0,0000;0,0000;0,0000
990;1,2341;1,2341;0,4899;0,0000;0,0000;0,0000;1,2341;1,2341;0,4899;0,0000;0,0000;0,0000
1020;1,2762;1,2762;0,5164;0,0000;0,0000;0,0000;1,2762;1,2762;0,5164;0,0000;0,0000;0,0000
1050;1,3186;1,3186;0,5442;0,0000;0,0000;0,0000;1,3186;1,3186;0,5442;0,0000;0,0000;0,0000
1080;1,3613;1,3613;0,5733;0,0000;0,0000;0,0000;1,3613;1,3613;0,5733;0,0000;0,0000;0,0000
1110;1,4043;1,4043;0,6038;0,0000;0,0000;0,0000;1,4043;1,4043;0,6038;0,0000;0,0000;0,0000
1140;1,4476;1,4476;0,6356;0,0000;0,0000;0,0000;1,4476;1,4476;0,6356;0,0000;0,0000;0,0000
1170;1,4912;1,4912;0,6689;0,0000;0,0000;0,0000;1,4912;1,4912;0,6689;0,0000;0,0000;0,0000
1200;1,5352;1,5352;0,7037;0,0000;0,0000;0,0000;1,5352;1,5352;0,7037;0,0000;0,0000;0,0000
1230;1,5771;1,5970;0,7400;0,0059;0,0002;0,0011;1,5975;1,5755;0,7411;-0,0001;0,0311;0,0001
1260;1,6167;1,6586;0,7777;0,0128;0,0003;0,0029;1,6575;1,6131;0,7824;-0,0006;0,0644;0,0004
1290;1,6595;1,7266;0,8170;0,0210;-0,0002;0,0029;1,7220;1,6534;0,8276;-0,0015;0,0979;0,0008
1320;1,7070;1,8025;0,8581;0,0306;-0,0015;0,0008;1,7928;1,6981;0,8766;-0,0028;0,1318;0,0013
1350;1,7616;1,8873;0,9011;0,0412;-0,0038;-0,0040;1,8710;1,7494;0,9295;-0,0047;0,1662;0,0018
1380;1,8262;1,9820;0,9464;0,0524;-0,0071;-0,0119;1,9578;1,8104;0,9864;-0,0071;0,2016;0,0024
