Measure_number;Sec_number;Depth;Gx;Gy;Gz;Bx;By;Bz
1;1;49.999;-0.012207;0.010987;1.00098;-8057;802;60512
2;1;70.5;-0.003662;-0.012207;1.0022;5685;-5197;60163
3;1;90.8;-0.004883;-0.008545;1.00098;6452;-3871;60024
4;1;111.2;-0.007324;-0.009765;1.00098;5894;-4778;60512
5;1;130;-0.004883;-0.003662;1.00098;-6173;4220;60303
6;1;148.7;-0.015869;-0.010986;1.00098;-6592;4290;60094
7;1;167.399;0.019531;0.006104;1.00098;5685;-5755;60163
8;1;186.099;-0.019531;0.009766;1.00098;-314;8057;60303
9;1;204.801;-0.002441;0.018311;1.00098;6731;4429;60373
10;1;223.501;0.002442;-0.020752;1.00098;-6104;-5545;60373
11;1;242.2;0.006104;0.020752;1.00098;7778;2197;60373
12;1;261;0.01709;-0.012207;1.00098;-384;-7847;60163
13;1;279.7;-0.029297;-0.020752;1.00098;-7289;3871;60094
14;1;298.299;0.05249;0.013428;0.948486;5615;-6383;59954
15;1;317.001;-0.01709;0.079346;0.998535;6243;6452;60024
16;1;335.801;0.080567;-0.057373;0.997315;872;-9591;59884
17;1;354.501;-0.114746;0;0.994873;-7080;7499;59675
18;1;373.2;0.085449;-0.12207;0.991211;-732;-12242;59396
19;1;391.9;0.177002;-0.078125;0.982666;8475;-11963;58977
20;1;410.599;0.201416;-0.166015;0.966797;8057;-16427;57792
21;1;429.299;-0.031738;0.316162;0.949707;5545;20752;56745
22;1;439.199;0.197754;-0.288086;0.938721;6243;-22356;56048
23;2;468.801;0.037708;-0.360921;0.935161;-5015;-23585;56964
24;2;484.199;-0.249951;0.224094;0.945935;-10813;19824;55945
25;2;502.899;0.165916;-0.287659;0.945935;3369;-21391;56102
26;2;521.601;0.149755;-0.347992;0.928697;2037;-23663;55240
27;2;540.401;-0.418022;0.141136;0.900685;-22801;15593;53438
28;2;559.101;0.281195;0.395397;0.878061;23115;20216;51792
29;2;577.8;-0.411557;-0.3286;0.853281;-30088;-14809;50147
30;2;596.5;0.361998;-0.442801;0.823114;16846;-31969;48423
31;2;615.3;-0.361998;0.486973;0.799412;-18335;33144;47483
32;2;633.999;-0.018316;0.651812;0.761704;6268;40039;44897
33;2;652.699;-0.280118;0.64427;0.716454;-9951;41763;42390
34;2;671.401;-0.677669;0.31998;0.666895;-37218;25857;39883
35;2;690.101;-0.795103;0.12713;0.59902;-46308;14966;35886
36;2;709.401;-0.695984;-0.490206;0.530068;-45837;-23506;31734
37;2;727.5;0.463271;0.762781;0.458962;33928;41685;27267
38;2;746.3;-0.884525;-0.253183;0.398629;-54848;-7914;23898
39;2;764.999;0.249951;0.908227;0.34476;22096;52027;20921
40;2;783.699;-0.062488;0.959941;0.288736;3761;57512;17551
41;2;802.401;0.720764;0.657199;0.232713;47953;33536;14182
42;2;821.101;-0.204701;0.967483;0.171302;-4858;59079;10186
43;2;839.8;-0.776788;-0.613026;0.161606;-50931;-30637;9481
44;2;858.5;-0.9524;-0.271499;0.161606;-58766;-8932;9324
45;2;877.3;0.969637;0.193927;0.162684;59236;4231;9481
46;2;895.999;-0.987953;0.091577;0.154065;-58139;12929;8776
47;2;914.699;-0.962096;0.229481;0.169148;-55553;20921;9638
48;2;933.499;0.967483;0.197159;0.174535;59158;4388;10186
49;2;952.201;0.633496;-0.756317;0.173457;31969;-49834;10108
50;2;970.901;-0.936239;-0.313516;0.180999;-58139;-11440;10578
51;2;989.701;0.931929;0.327522;0.176689;57904;12458;10343
52;2;1008.4;0.986875;-0.025857;0.17238;58609;-9011;10108
53;2;1027.2;-0.976102;-0.161606;0.169148;-59314;-2116;9794
54;2;1045.9;-0.943781;-0.284427;0.187463;-58374;-9716;10891
55;2;1064.599;-0.979334;-0.115279;0.185308;-59158;627;10735
56;2;1083.299;-0.768169;0.619491;0.183154;-40901;42782;10656
57;2;1103.599;-0.933007;0.32429;0.176689;-53124;26484;10186
58;2;1124.099;-0.740157;0.657199;0.169148;-39021;44819;9794
59;2;1140.001;-0.956709;0.25426;0.169148;-55005;22488;9559
60;2;1164.799;-0.906072;0.396474;0.169148;-51009;30558;9559
61;2;1185.099;-0.986876;0.06572;0.166993;-58296;11597;9481
62;2;1205.6;-0.977179;0.15191;0.17238;-56729;16533;9794
63;2;1226;-0.922233;0.367385;0.145445;-51949;28835;7914
64;2;1246.3;0.581782;-0.802644;0.148678;28678;-51949;7444
65;2;1266.599;0.148678;-0.976102;0.173457;1489;-59314;8776
66;2;1287.1;0.729383;-0.664741;0.175612;38472;-45054;8541
67;2;1307.501;-0.331832;-0.934084;0.148678;-26562;-53438;6660
68;2;1328.8;-0.908227;-0.39001;0.16807;-57277;-17081;7052
69;2;1348.201;0.906072;-0.39001;0.178844;51949;-29383;7209
70;2;1368.601;0.792948;0.596866;0.1476;51401;30872;4936
71;2;1389.099;-0.677669;-0.720764;0.160529;-45132;-39412;5171
72;2;1409.599;-0.341528;-0.934084;0.12713;-25700;-54221;2742
73;2;1430;-0.599021;0.795103;0.128208;-31890;50931;2429
74;2;1450.199;0.924388;-0.370617;0.110969;53751;-26719;1175
75;2;1470.7;-0.658276;-0.749853;0.094809;-42938;-41998;-235
76;2;1489.399;-0.054946;-0.995495;0.100196;-7287;-59550;-157
77;2;1508.099;-0.885602;0.458962;0.108815;-51714;30715;0
78;2;1526.899;0.725073;0.68521;0.105583;45759;39021;-313
79;2;1545.601;-0.381391;0.924388;0.084035;-20529;56494;-1881
80;2;1564.401;0.493438;0.872674;0.032321;31342;51009;-5015
81;2;1583.101;-0.997649;-0.082958;0.063565;-59941;-3213;-3369
82;2;1601.8;0.99334;0.122821;0.054946;59706;5720;-3761
83;2;1620.5;-0.499902;-0.868364;0.044172;-31342;-51009;-4466
84;2;1627.602;0.958864;0.290891;0.042018;57826;15828;-4623
85;3;1650.599;0.663663;-0.752008;0.02478;38394;-45916;-6738
86;3;1669.201;0.675514;-0.742311;0.002155;39021;-45211;-7052
87;3;1688.001;0.954554;0.305974;-0.011851;57277;16690;-7914
88;3;1711.001;-0.563467;-0.827424;0.06141;-35103;-48815;-3604
89;3;1725.4;0.738002;-0.675514;0.058178;43252;-41685;-3761
90;3;1744.2;-0.484819;0.873751;0.08619;-27816;53360;-2116
91;3;1763;-0.889912;-0.450343;0.105583;-54378;-25935;-940
92;3;1781.699;-0.890989;-0.453575;0.082958;-54300;-26014;-2272
